y	avg s1	 max s1	 min s1	 avg s2	 max s2	 min s2
4 	 4.0 	 4 	 4 	 0.14 	 4 	 0
5 	 5.0 	 5 	 5 	 0.2 	 5 	 0
6 	 6.0 	 6 	 6 	 0.36 	 6 	 0
7 	 7.0 	 7 	 7 	 0.52 	 7 	 0
8 	 8.0 	 8 	 8 	 0.68 	 8 	 0
9 	 9.0 	 9 	 9 	 0.84 	 9 	 0
10 	 10.0 	 10 	 10 	 1.0 	 10 	 0
11 	 11.0 	 11 	 11 	 1.16 	 11 	 0
12 	 12.0 	 12 	 12 	 1.32 	 12 	 0
13 	 13.0 	 13 	 13 	 1.6 	 13 	 0
14 	 14.0 	 14 	 14 	 1.88 	 14 	 0
15 	 15.0 	 15 	 15 	 2.16 	 15 	 0
16 	 16.0 	 16 	 16 	 2.44 	 16 	 0
17 	 17.0 	 17 	 17 	 2.72 	 17 	 0
18 	 18.0 	 18 	 18 	 3.24 	 18 	 0
19 	 19.0 	 19 	 19 	 3.76 	 19 	 0
